"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"CRSL02 Burguer Fest — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD02 Corta Preço",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD02 Corta Preço — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD02 Corta Preço — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD02 Corta Preço — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD02 Corta Preço — Cópia",archived,2026-03-04,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD02 Corta Preço — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD04 Happy Hour Dia dos Namorados",archived,2026-03-04,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD05 Happy Hour Dia dos Namorados",archived,2026-03-04,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD05 Happy Hour Dia dos Namorados — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD04 Happy Hour Dia dos Namorados — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD04 Happy Hour Dia dos Namorados — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD04 Happy Hour Dia dos Namorados — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD03 Eventos Junho Buzz — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD04 Eventos Junho Sorteio Cruzeiro — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD06 Eventos Junho Circo das Cores — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CRSL02 Eventos Junho — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD02 Eventos Junho Corta Preço — Cópia",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD02 Eventos Junho Corta Preço — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD06 Eventos Junho Circo das Cores — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD05 Eventos Junho Maratoninha — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD04 Eventos Junho Sorteio Cruzeiro — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Novo anúncio de Leads — Cópia",inactive,2026-05-19,Contínuo,2026-06-16,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD 01 - bijuterias - joias — Cópia",inactive,2026-05-19,Contínuo,2026-06-16,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD 02 - moda infantil — Cópia",inactive,2026-05-19,Contínuo,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD 02 - moda masculina — Cópia",inactive,2026-05-19,Contínuo,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Video Inverno",not_delivering,2026-03-11,Contínuo,2026-05-20,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Video Inverno — Cópia",not_delivering,2026-03-11,Contínuo,2026-05-20,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD04 Eventos Junho Sorteio Cruzeiro — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD06 Eventos Junho Circo das Cores — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD02 Eventos Junho Corta Preço — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"evento troca de figurinha — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Promoção namorados — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD04 Happy Hour Dia dos Namorados — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD06 Eventos Junho Circo das Cores — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"VAD03 Eventos Junho Buzz — Cópia — Cópia",inactive,2026-06-03,Contínuo,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
