"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CA [PITBULL] [WHATSAPP]",inactive,2024-09-09,2026-03-24,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 61 [Whatsapp] [Autojans]",inactive,2024-10-14,2025-04-07,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 62 [Whatsapp] [Toso]",inactive,2024-10-14,2025-04-07,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Feirão] [Outubro] [Tráfego]",inactive,2024-10-21,2024-10-28,Contínuo,,,,60,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Tráfego - Institucional] [ Curitiba] [Redes Sociais]",inactive,2026-05-14,2026-06-12,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Tipave] [WhatsApp - Maio]",inactive,2026-05-15,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[GP][DUPLICATA CA53][Engajamento][GranTorino]",inactive,2026-05-29,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[GP][TRAFEGO][SELECAO ALV][IG]",inactive,2026-06-02,2026-06-12,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[GP][TRAFEGO][SELECAO ALV][SITE]",inactive,2026-06-02,2026-06-12,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 🔥 Fim de semana com ofertas!...",inactive,2026-06-05,2026-06-11,2026-06-08,,,,45,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: Feirão Jogada Certa vai...",inactive,2026-06-17,2026-07-14,2026-06-26,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 🚗 Preços que você não vai...",inactive,2026-06-19,2026-07-14,2026-06-22,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: As estrelas já estão em campo...",inactive,2026-06-23,2026-07-14,2026-06-27,,,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,[Tráfego][Site][ofertas][MOF][rmkt][BOF],active,2026-06-29,2026-06-29,Contínuo,13808,actions:omni_landing_page_view,0.27514629,"Usando o orçamento do conjunto de anúncios",0,3799.22,662452,210164,3.152072,14145,2.87402,0.199549,5.735087,13808
2026-07-01,2026-07-21,[Reconhecimento][Institucional],active,2026-06-29,2026-06-29,Contínuo,576941,reach,1.98226508,"Usando o orçamento do conjunto de anúncios",0,1143.65,938453,576941,1.626601,600,0.06564,1.856575,1.218655,116
2026-07-01,2026-07-21,[Engajamento][Lojistas][wpp],active,2026-06-29,2026-06-29,Contínuo,337,actions:onsite_conversion.messaging_conversation_started_7d,17.82106825,"Usando o orçamento do conjunto de anúncios",0,6005.7,188387,46357,4.063831,1254,0.814812,3.912508,31.879588,14
2026-07-01,2026-07-21,"Post do Instagram: Kardian Iconic 2026 ou Pulse...",recently_completed,2026-07-01,2026-07-01,2026-07-15,508,actions:link_click,0.27476378,10,Diário,139.58,16140,10833,1.489892,473,3.14746,0.274764,8.648079,214
2026-07-01,2026-07-21,"Post do Instagram: Ele veio buscar o carro...",inactive,2026-07-02,2026-07-14,2026-07-09,22499,actions:post_engagement,0.00310636,10,Diário,69.89,34501,33071,1.04324,,,,2.025738,
2026-07-01,2026-07-21,"Post do Instagram: 🚗 Preços que você não vai...",inactive,2026-07-03,2026-07-14,2026-07-06,88,profile_visit_view,0.34045455,10,Diário,29.96,3784,2965,1.276223,73,2.299154,0.344368,7.917548,4
2026-07-01,2026-07-21,"Post do Instagram: Vai viajar nas férias? Não...",inactive,2026-07-06,2026-07-14,2026-07-13,8236,actions:post_engagement,0.00848592,10,Diário,69.89,15719,12371,1.270633,,,,4.446212,
2026-07-01,2026-07-21,"Post do Instagram: 🚗 Hatch, sedã ou SUV? Tem...",inactive,2026-07-10,2026-07-14,2026-07-13,360,actions:link_click,0.41561111,50,Diário,149.62,12628,9385,1.345551,327,2.850808,0.415611,11.848274,175
