Relatório de campanha
1 de julho de 2026 - 21 de julho de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
Pausada,[Display] Mercado,"17,00", --,Diário,BRL,Pausado,campanha pausada,12264774429,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[Display] Feirão Fev. 2021 Presencial,"30,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,12397435588,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[Display] Feirão Fev. 2021,"55,50", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,12309283914,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Feirão - Final de Semana - Remarketing,"200,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,1951338701,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Ativada,[L3FT] PMax_Visitas,"75,73", --,Diário,BRL,Encerrado,campanha finalizada,19778390138,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Ativada,[L3FT] PMax_Institucional,"141,45", --,Diário,BRL,Encerrado,campanha finalizada,16697450333,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão - Remarketing,"150,00", --,Diário,BRL,Removido,campanha removida,859242207,Display,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão - Re,"150,00", --,Diário,BRL,Removido,campanha removida,858278149,Display,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Institucional Antiga,"40,00", --,Diário,BRL,Removido,campanha removida,127235663,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão Novembro,"100,00", --,Diário,BRL,Removido,campanha removida; campanha finalizada,248440343,Pesquisa,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
