Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
maio de 2026,Ativada,PMax_Institucional,"50,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,21070607239,Performance Max,"34,18",216.158,38.277,"17,71%","0,19","7388,89","10,94%","0,31","86,50",Maximizar conversões (CPA desejado),23.657,"3,46%","1.326,05","5,57","10,43%","7,26%", --,0, --,"78,76%","19,16",0
junho de 2026,Ativada,PMax_Institucional,"50,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,21070607239,Performance Max,"38,10",236.406,34.754,"14,70%","0,26","9006,41","10,88%","0,35","86,50",Maximizar conversões (CPA desejado),25.711,"3,22%","1.120,31","8,04","10,29%","2,31%", --,0, --,"74,52%","16,93",0
janeiro de 2026,Pausada,[Pesquisa] [Institucional],"350,00", --,Diário,BRL,Pausado,campanha pausada,21070602922,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Pausada,[Pesquisa] [Institucional],"350,00", --,Diário,BRL,Pausado,campanha pausada,21070602922,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
março de 2026,Pausada,[Pesquisa] [Institucional],"350,00", --,Diário,BRL,Pausado,campanha pausada,21070602922,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Pausada,[Pesquisa] [Institucional],"350,00", --,Diário,BRL,Pausado,campanha pausada,21070602922,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Pausada,[Pesquisa] [Institucional],"350,00", --,Diário,BRL,Pausado,campanha pausada,21070602922,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Pausada,[Pesquisa] [Institucional],"350,00", --,Diário,BRL,Pausado,campanha pausada,21070602922,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Pausada,PMax_Institucional Março Off,"141,45", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,21070594555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Pausada,PMax_Institucional Março Off,"141,45", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,21070594555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
