"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,[MOF][ADV][Frio][Amplo][40km][25-65+],active,2026-06-29,2026-07-21,Contínuo,8445,actions:omni_landing_page_view,0.28433748,100,Diário,2401.23,374457,153310,2.442483,9422,3.162713,0.202755,6.412565,8445
2026-07-01,2026-07-21,[Curitiba][ADV][amplo][30km][25-65],active,2026-06-29,2026-07-10,Contínuo,153309,reach,2.0561089,12,Diário,315.22,259856,153309,1.694982,181,0.070039,1.731978,1.213056,35
2026-07-01,2026-07-21,"[Interior PR][ADV][amplo][30km][25-65]",inactive,2026-06-29,2026-07-20,Contínuo,78248,reach,2.73936714,10,Diário,214.35,164523,78248,2.102584,100,0.06139,2.122277,1.302857,16
2026-07-01,2026-07-21,"[Oeste PR][ADV][amplo][30km][25-65]",inactive,2026-06-29,2026-07-20,Contínuo,109669,reach,1.95369703,10,Diário,214.26,174821,109669,1.594079,104,0.059489,2.060192,1.225596,19
2026-07-01,2026-07-21,[SC/MS][ADV][amplo][30km][25-65],inactive,2026-06-29,2026-07-20,Contínuo,99401,reach,1.97040271,10,Diário,195.86,155863,99401,1.568022,105,0.067367,1.865333,1.256616,14
2026-07-01,2026-07-21,[SP][ADV][amplo][30km][25-65],active,2026-06-29,2026-06-29,Contínuo,147321,reach,1.38445979,10,Diário,203.96,183390,147321,1.244833,124,0.067615,1.644839,1.112165,32
2026-07-01,2026-07-21,"1 [CWB CAR]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,28,actions:onsite_conversion.messaging_conversation_started_7d,17.65857143,39,Diário,494.44,13135,7116,1.84584,76,0.593833,6.338974,37.642939,2
2026-07-01,2026-07-21,"2 [ATUAL]---[ADV][LAL][wpp][15km]",active,2026-06-29,2026-07-13,Contínuo,14,actions:onsite_conversion.messaging_conversation_started_7d,28.31214286,39,Diário,396.37,11443,7119,1.607389,90,0.830202,4.172316,34.638644,
2026-07-01,2026-07-21,"2 [DGONGORA]---[ADV][LAL][wpp][15km]",active,2026-06-29,2026-07-13,Contínuo,17,actions:onsite_conversion.messaging_conversation_started_7d,22.81294118,39,Diário,387.82,11424,6833,1.671886,55,0.507703,6.686552,33.947829,1
2026-07-01,2026-07-21,"2 [GRANTORINO]---[ADV][LAL][wpp][15km]",active,2026-06-29,2026-07-13,Contínuo,18,actions:onsite_conversion.messaging_conversation_started_7d,20.92,39,Diário,376.56,14322,8381,1.708865,112,0.970535,2.709065,26.292417,3
2026-07-01,2026-07-21,"[SOUTH MOTORS]---[ADV][LAL][wpp][15km]",archived,2026-06-29,2026-06-29,Contínuo,,,,39,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"1 [OZ]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,32,actions:onsite_conversion.messaging_conversation_started_7d,14.8446875,39,Diário,475.03,16568,7565,2.190086,138,0.98986,2.896524,28.671535,
2026-07-01,2026-07-21,"1 [SCHAFAS]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,46,actions:onsite_conversion.messaging_conversation_started_7d,10.54695652,39,Diário,485.16,14171,7751,1.82828,121,0.917366,3.732,34.236116,
2026-07-01,2026-07-21,"2 [WAY]---[ADV][LAL][wpp][15km]",active,2026-06-29,2026-07-17,Contínuo,15,actions:onsite_conversion.messaging_conversation_started_7d,25.676,39,Diário,385.14,9919,5676,1.747533,69,0.756125,5.1352,38.828511,
2026-07-01,2026-07-21,"1 [GS MOTORS]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,37,actions:onsite_conversion.messaging_conversation_started_7d,12.83918919,39,Diário,475.05,13188,6134,2.149984,127,1.076736,3.345423,36.021383,1
2026-07-01,2026-07-21,"1 [MASSA MOTORS]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,11,actions:onsite_conversion.messaging_conversation_started_7d,42.52545455,39,Diário,467.78,21460,8550,2.509942,163,0.922647,2.362525,21.797763,3
2026-07-01,2026-07-21,"1 [SPEED]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,13,actions:onsite_conversion.messaging_conversation_started_7d,37.02076923,39,Diário,481.27,14243,5537,2.572332,54,0.428281,7.889672,33.789932,
2026-07-01,2026-07-21,"2 [VIA MAIS]---[ADV][LAL][wpp][15km]",active,2026-06-29,2026-07-13,Contínuo,20,actions:onsite_conversion.messaging_conversation_started_7d,19.347,39,Diário,386.94,13491,7201,1.87349,117,0.941368,3.046772,28.681343,
2026-07-01,2026-07-21,"2 [SITIMA]---[ADV][LAL][wpp][15km]",active,2026-06-29,2026-07-15,Contínuo,18,actions:onsite_conversion.messaging_conversation_started_7d,21.19333333,39,Diário,381.48,11108,6598,1.68354,112,1.089305,3.152727,34.342816,
2026-07-01,2026-07-21,"1 [SOUTH MOTORS]---[ADV][LAL][wpp][15km]",inactive,2026-06-29,2026-07-13,Contínuo,35,actions:onsite_conversion.messaging_conversation_started_7d,14.14457143,39,Diário,495.06,12352,5651,2.185808,68,0.582902,6.875833,40.079339,4
2026-07-01,2026-07-21,"Post do Instagram: Kardian Iconic 2026 ou Pulse...",recently_completed,2026-07-01,2026-07-01,2026-07-15,508,actions:link_click,0.27476378,"Usando orçamento da campanha",0,139.58,16140,10833,1.489892,473,3.14746,0.274764,8.648079,214
2026-07-01,2026-07-21,"Post do Instagram: Ele veio buscar o carro...",not_delivering,2026-07-02,2026-07-02,2026-07-09,22499,actions:post_engagement,0.00310636,"Usando orçamento da campanha",0,69.89,34501,33071,1.04324,,,,2.025738,
2026-07-01,2026-07-21,"Post do Instagram: 🚗 Preços que você não vai...",not_delivering,2026-07-03,2026-07-03,2026-07-06,88,profile_visit_view,0.34045455,"Usando orçamento da campanha",0,29.96,3784,2965,1.276223,73,2.299154,0.344368,7.917548,4
2026-07-01,2026-07-21,"Post do Instagram: Vai viajar nas férias? Não...",not_delivering,2026-07-06,2026-07-06,2026-07-13,8236,actions:post_engagement,0.00848592,"Usando orçamento da campanha",0,69.89,15719,12371,1.270633,,,,4.446212,
2026-07-01,2026-07-21,"Post do Instagram: 🚗 Hatch, sedã ou SUV? Tem...",not_delivering,2026-07-10,2026-07-10,2026-07-13,360,actions:link_click,0.41561111,"Usando orçamento da campanha",0,149.62,12628,9385,1.345551,327,2.850808,0.415611,11.848274,175
2026-07-01,2026-07-21,"CJ 02 [Remarketing] [Marcas] [ Curitiba 17km]",not_delivering,2024-08-08,2024-09-13,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 01 [Interesses] [20km] [Curitiba]",not_delivering,2024-08-20,2024-08-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [17KM] [ CURITIBA]",not_delivering,2024-08-27,2024-08-27,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [17KM] [ CURITIBA]",not_delivering,2024-08-29,2024-08-29,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [25KM] [ CURITIBA]",not_delivering,2024-08-29,2024-08-29,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [ Interesses [Curitiba]",not_delivering,2024-09-04,2024-09-04,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ [REMARKETING] [GEO 17KM]",inactive,2024-09-09,2026-04-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [REMARKETING] [25KM] [ CURITIBA]",not_delivering,2024-09-09,2024-09-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02[ INTERESSES] [25KM] [ CURITIBA]",not_delivering,2024-09-09,2024-09-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [REMARKETING] [25KM] [ CURITIBA]",not_delivering,2024-09-12,2024-09-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 02 [LL 2% ] [20km] [Curitiba]",not_delivering,2024-09-16,2024-09-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 05 [LL 2% ] [20km] [Curitiba]",not_delivering,2024-09-16,2024-09-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Remarketing ] [cwb 40 km ] [19+]",not_delivering,2024-09-19,2025-01-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [35KM] [ CURITIBA]",inactive,2024-10-14,2024-10-17,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01.2 [ Interesses] [10km]",not_delivering,2024-10-17,2024-10-17,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01.1 [ Interesses] [10km]",not_delivering,2024-10-17,2024-10-17,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02.1 [ ll 1%] [10km]",not_delivering,2024-10-17,2024-10-31,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 03.2 [ Remarketing 180D] [10km]",not_delivering,2024-10-17,2024-10-31,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 03.1 [ ll 1%] [10km]",not_delivering,2024-10-17,2024-10-31,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01.1 [ Remarketing IG/FB] [10km]",not_delivering,2024-12-19,2024-12-19,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses - Plataformas carros] [ 25+] [5km]",not_delivering,2025-03-26,2025-03-26,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"2 [TOYOTO]---[ADV][LAL][wpp][15km]",active,2026-07-13,2026-07-15,Contínuo,32,actions:onsite_conversion.messaging_conversation_started_7d,9.925,39,Diário,317.6,11563,7093,1.630199,71,0.648621,4.234667,27.46692,
2026-07-01,2026-07-21,"Post do Instagram: A chave do seu carro novo...",active,2026-07-15,2026-07-15,2026-07-22,325,profile_visit_view,0.35501538,"Usando orçamento da campanha",0,115.38,13311,9234,1.44152,283,2.366464,0.366286,8.668019,49
2026-07-01,2026-07-21,"Post do Instagram: 🚗Confira algumas das...",recently_completed,2026-07-17,2026-07-17,2026-07-20,293,profile_visit_view,0.3062116,"Usando orçamento da campanha",0,89.72,15660,11369,1.37743,261,1.768838,0.323899,5.729246,19
2026-07-01,2026-07-21,[Ofertas][ADV][Interesses][20km][25-65+],active,2026-07-21,2026-07-21,Contínuo,17,actions:omni_landing_page_view,0.58764706,40,Diário,9.99,1620,1541,1.051265,26,1.728395,0.356786,6.166667,17
2026-07-01,2026-07-21,"AD 02 [REMARKETING] [10km Geo]",not_delivering,2024-10-21,2024-10-21,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 03 [ Interesse - carros] [6km] [24+]",not_delivering,2024-12-19,2024-12-19,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses - plataformas de venda de carro] [10km] [25+]",not_delivering,2025-02-13,2025-04-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 04 [LL1%] [ 25+] [10km]",not_delivering,2025-03-27,2025-03-27,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02-  [Interesses] [19-65] [45km+]",not_delivering,2025-04-23,2025-05-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [Interesses] [19-65 anos] [40km+]",not_delivering,2025-04-24,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 03 [Interesses-Marcas] [19-65 anos] [40km+]",inactive,2025-04-24,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 02 [Interesses - Marcas] [19-65] [40km+]",not_delivering,2025-04-30,2026-05-29,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01 - [Interesses - Marcas] [19-65] [40km+]",not_delivering,2025-05-02,2025-08-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 02 [Interesses - marcas] [20-65][20km]",not_delivering,2025-05-15,2025-05-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01 [Interesses] [ 19-65] [40km+]",not_delivering,2025-06-24,2025-07-04,Contínuo,0,reach,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01 [LL] [40km+] [19-65]",not_delivering,2025-08-05,2025-08-12,Contínuo,0,reach,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [SEGUIDORES - 90D] [ 25+] [40km]",not_delivering,2025-08-05,2025-08-12,Contínuo,0,reach,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 03 [Interesses] [19-65] [20km+]",not_delivering,2025-08-05,2025-08-12,Contínuo,0,reach,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses ] [Curitiba 40km]",not_delivering,2025-08-27,2025-08-27,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [Remarketing] [Curitiba 40km]",not_delivering,2025-09-16,2025-09-22,Contínuo,0,reach,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses - marcas caras] [Cwb - 40km] [20+]",not_delivering,2025-09-30,2025-10-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02[ Visitaram o site] [25+] Curitiba - Litoral 40km]",not_delivering,2025-10-16,2025-10-21,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [ADVANTAGE [ 20+] [cwb 40km]",inactive,2025-12-17,2026-03-13,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 04 [Remarketing site 180 D] [CWB 80KM] [20+]",not_delivering,2025-12-24,2025-12-24,Contínuo,0,reach,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [Remarketing] [Geo 50km]",not_delivering,2026-01-05,2026-01-05,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
